order_id,order_date,city,product,category,quantity,price
1001,45667,Pune,Laptop,Electronics,2,50000
1002,45668,Mumbai,Mobile,Electronics,3,20000
1003,45668,Pune,Headphones,Accessories,5,2000
1004,45669,Nagpur,Keyboard,Accessories,4,1500
1005,45670,Mumbai,Laptop,Electronics,1,50000
1006,45671,Pune,Mobile,Electronics,2,22000
1007,45672,Mumbai,Headphones,Accessories,6,1800
1008,45673,Nagpur,Laptop,Electronics,1,52000
1009,45674,Pune,Keyboard,Accessories,3,1400
1010,45675,Mumbai,Mobile,Electronics,4,21000
1011,45676,Nagpur,Headphones,Accessories,7,1900
1012,45677,Pune,Laptop,Electronics,2,51000
1013,45678,Mumbai,Keyboard,Accessories,5,1600
1014,45679,Nagpur,Mobile,Electronics,3,23000
1015,45680,Pune,Headphones,Accessories,4,1700
1016,45681,Mumbai,Laptop,Electronics,1,55000
1017,45682,Nagpur,Keyboard,Accessories,6,1500
1018,45683,Pune,Mobile,Electronics,2,20000
1019,45684,Mumbai,Headphones,Accessories,5,2100
1020,45685,Nagpur,Laptop,Electronics,3,48000
1021,45686,Pune,Keyboard,Accessories,4,1550
1022,45687,Mumbai,Mobile,Electronics,2,24000
1023,45688,Nagpur,Headphones,Accessories,6,2000
1024,45689,Pune,Laptop,Electronics,1,53000
1025,45690,Mumbai,Keyboard,Accessories,3,1450
1026,45691,Nagpur,Mobile,Electronics,4,22000
1027,45692,Pune,Headphones,Accessories,5,1800
1028,45693,Mumbai,Laptop,Electronics,2,50000
1029,45694,Nagpur,Keyboard,Accessories,6,1500
1030,45695,Pune,Mobile,Electronics,3,21000
1031,45696,Mumbai,Headphones,Accessories,7,1900
1032,45697,Nagpur,Laptop,Electronics,1,56000
1033,45698,Pune,Keyboard,Accessories,4,1600
1034,45699,Mumbai,Mobile,Electronics,2,23000
1035,45700,Nagpur,Headphones,Accessories,5,2000
1036,45701,Pune,Laptop,Electronics,3,49000
1037,45702,Mumbai,Keyboard,Accessories,6,1500
1038,45703,Nagpur,Mobile,Electronics,4,22000
1039,45704,Pune,Headphones,Accessories,3,1700
1040,45705,Mumbai,Laptop,Electronics,2,51000
1041,45706,Nagpur,Keyboard,Accessories,5,1550
1042,45707,Pune,Mobile,Electronics,1,20000
1043,45708,Mumbai,Headphones,Accessories,6,1800
1044,45709,Nagpur,Laptop,Electronics,2,54000
1045,45710,Pune,Keyboard,Accessories,4,1450
1046,45711,Mumbai,Mobile,Electronics,3,21000
1047,45712,Nagpur,Headphones,Accessories,7,1900
1048,45713,Pune,Laptop,Electronics,1,52000
1049,45714,Mumbai,Keyboard,Accessories,5,1500
1050,45715,Nagpur,Mobile,Electronics,2,23000
1051,45716,Pune,Headphones,Accessories,6,2000
1052,45717,Mumbai,Laptop,Electronics,3,50000
1053,45718,Nagpur,Keyboard,Accessories,4,1600
1054,45719,Pune,Mobile,Electronics,2,22000
1055,45720,Mumbai,Headphones,Accessories,5,1800
